lat,lon,year,scenario,variable,anom
24.031413612565444,235.0,1980,historical,tas,-2.765331268310547
24.031413612565444,237.5,1980,historical,tas,-2.7725887298583984
24.031413612565444,240.0,1980,historical,tas,-2.4867630004882812
24.031413612565444,242.5,1980,historical,tas,-2.112550735473633
24.031413612565444,245.0,1980,historical,tas,-1.685302734375
24.031413612565444,247.5,1980,historical,tas,-1.3263778686523438
24.031413612565444,250.0,1980,historical,tas,-1.7238807678222656
24.031413612565444,252.5,1980,historical,tas,-1.513742446899414
24.031413612565444,255.0,1980,historical,tas,-1.3240509033203125
24.031413612565444,257.5,1980,historical,tas,-1.4215164184570312
24.031413612565444,260.0,1980,historical,tas,-1.0077571868896484
24.031413612565444,262.5,1980,historical,tas,-1.9073352813720703
24.031413612565444,265.0,1980,historical,tas,-2.100126266479492
24.031413612565444,267.5,1980,historical,tas,-1.9959087371826172
24.031413612565444,270.0,1980,historical,tas,-1.8674087524414062
24.031413612565444,272.5,1980,historical,tas,-1.7076339721679688
24.031413612565444,275.0,1980,historical,tas,-1.613607406616211
24.031413612565444,277.5,1980,historical,tas,-1.6207637786865234
24.031413612565444,280.0,1980,historical,tas,-1.5913314819335938
24.031413612565444,282.5,1980,historical,tas,-1.5560760498046875
24.031413612565444,285.0,1980,historical,tas,-1.5355987548828125
24.031413612565444,287.5,1980,historical,tas,-1.5390357971191406
24.031413612565444,290.0,1980,historical,tas,-1.5963287353515625
24.031413612565444,292.5,1980,historical,tas,-1.6539993286132812
25.916230366492144,235.0,1980,historical,tas,-2.7105445861816406
25.916230366492144,237.5,1980,historical,tas,-2.7825851440429688
25.916230366492144,240.0,1980,historical,tas,-2.6712570190429688
25.916230366492144,242.5,1980,historical,tas,-2.299600601196289
25.916230366492144,245.0,1980,historical,tas,-1.896413803100586
25.916230366492144,247.5,1980,historical,tas,-1.8749923706054688
25.916230366492144,250.0,1980,historical,tas,-1.5691986083984375
25.916230366492144,252.5,1980,historical,tas,-2.034555435180664
25.916230366492144,255.0,1980,historical,tas,-2.2985992431640625
25.916230366492144,257.5,1980,historical,tas,-1.7143115997314453
25.916230366492144,260.0,1980,historical,tas,-1.7317447662353516
25.916230366492144,262.5,1980,historical,tas,-1.9806346893310547
25.916230366492144,265.0,1980,historical,tas,-2.223155975341797
25.916230366492144,267.5,1980,historical,tas,-2.169771194458008
25.916230366492144,270.0,1980,historical,tas,-2.051584243774414
25.916230366492144,272.5,1980,historical,tas,-1.9165077209472656
25.916230366492144,275.0,1980,historical,tas,-1.8472614288330078
25.916230366492144,277.5,1980,historical,tas,-1.8113517761230469
25.916230366492144,280.0,1980,historical,tas,-1.6790313720703125
25.916230366492144,282.5,1980,historical,tas,-1.5821113586425781
25.916230366492144,285.0,1980,historical,tas,-1.5551471710205078
25.916230366492144,287.5,1980,historical,tas,-1.6013355255126953
25.916230366492144,290.0,1980,historical,tas,-1.6469230651855469
25.916230366492144,292.5,1980,historical,tas,-1.693532943725586
27.801047120418843,235.0,1980,historical,tas,-2.5766143798828125
27.801047120418843,237.5,1980,historical,tas,-2.6542186737060547
27.801047120418843,240.0,1980,historical,tas,-2.6335906982421875
27.801047120418843,242.5,1980,historical,tas,-2.4281387329101562
27.801047120418843,245.0,1980,historical,tas,-2.116802215576172
27.801047120418843,247.5,1980,historical,tas,-1.9752674102783203
27.801047120418843,250.0,1980,historical,tas,-1.8209037780761719
27.801047120418843,252.5,1980,historical,tas,-2.8509044647216797
27.801047120418843,255.0,1980,historical,tas,-2.366170883178711
27.801047120418843,257.5,1980,historical,tas,-2.3901596069335938
27.801047120418843,260.0,1980,historical,tas,-2.207256317138672
27.801047120418843,262.5,1980,historical,tas,-2.1327171325683594
27.801047120418843,265.0,1980,historical,tas,-2.3374271392822266
27.801047120418843,267.5,1980,historical,tas,-2.324016571044922
27.801047120418843,270.0,1980,historical,tas,-2.2740440368652344
27.801047120418843,272.5,1980,historical,tas,-2.2279586791992188
27.801047120418843,275.0,1980,historical,tas,-2.1118316650390625
27.801047120418843,277.5,1980,historical,tas,-2.0425033569335938
27.801047120418843,280.0,1980,historical,tas,-1.6892280578613281
27.801047120418843,282.5,1980,historical,tas,-1.5978431701660156
27.801047120418843,285.0,1980,historical,tas,-1.6012802124023438
27.801047120418843,287.5,1980,historical,tas,-1.633880615234375
27.801047120418843,290.0,1980,historical,tas,-1.6904582977294922
27.801047120418843,292.5,1980,historical,tas,-1.7369022369384766
29.685863874345543,235.0,1980,historical,tas,-2.4343509674072266
29.685863874345543,237.5,1980,historical,tas,-2.526911735534668
29.685863874345543,240.0,1980,historical,tas,-2.6064987182617188
